,transaction_id,date,product_category,product_name,units_sold,unit_price,total_revenue,region,payment_method
0,20001,2022-01-01,Beauty Products,Neutrogena Skincare Set,3,89.99,269.97,Australia,Debit Card
1,20002,2022-01-01,Beauty Products,Chanel No. 5 Perfume,4,129.99,519.96,Australia,Credit Card
2,20003,2022-01-01,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,Debit Card
3,20004,2022-01-01,Beauty Products,La Mer Creme de la Mer Moisturizer,3,190.0,570.0,Asia,Debit Card
4,20005,2022-01-01,Beauty Products,La Mer Creme de la Mer Moisturizer,3,190.0,570.0,North America,PayPal
5,20006,2022-01-01,Beauty Products,La Mer Creme de la Mer Moisturizer,3,190.0,570.0,South America,Credit Card
6,20007,2022-01-01,Beauty Products,La Mer Creme de la Mer Moisturizer,3,190.0,570.0,Asia,Google Pay
7,20008,2022-01-01,Beauty Products,Drunk Elephant C-Firma Day Serum,3,78.0,234.0,Asia,Debit Card
8,20009,2022-01-01,Beauty Products,Drunk Elephant C-Firma Day Serum,2,78.0,156.0,Asia,Google Pay
9,20010,2022-01-01,Beauty Products,Drunk Elephant C-Firma Day Serum,4,78.0,312.0,Europe,Credit Card
10,20011,2022-01-01,Beauty Products,Drunk Elephant C-Firma Day Serum,2,78.0,156.0,North America,Google Pay
11,20012,2022-01-01,Beauty Products,Charlotte Tilbury Magic Cream,1,100.0,100.0,Australia,Debit Card
12,20013,2022-01-01,Beauty Products,Charlotte Tilbury Magic Cream,3,100.0,300.0,Europe,Google Pay
13,20014,2022-01-01,Beauty Products,Charlotte Tilbury Magic Cream,1,100.0,100.0,North America,Apple Pay
14,20015,2022-01-01,Beauty Products,Charlotte Tilbury Magic Cream,3,100.0,300.0,South America,Apple Pay
15,20016,2022-01-01,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,North America,Apple Pay
16,20017,2022-01-01,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,Asia,Google Pay
17,20018,2022-01-01,Beauty Products,Tatcha The Water Cream,2,68.0,136.0,North America,Apple Pay
18,20019,2022-01-01,Beauty Products,Tatcha The Water Cream,2,68.0,136.0,Australia,PayPal
19,20020,2022-01-01,Beauty Products,Sunday Riley Good Genes,2,105.0,210.0,North America,Debit Card
20,20021,2022-01-01,Beauty Products,Sunday Riley Good Genes,1,105.0,105.0,Asia,Credit Card
21,20022,2022-01-01,Beauty Products,Sunday Riley Good Genes,4,105.0,420.0,Australia,Apple Pay
22,20023,2022-01-01,Beauty Products,Sunday Riley Good Genes,1,105.0,105.0,North America,Debit Card
23,20024,2022-01-01,Beauty Products,Estee Lauder Advanced Night Repair,1,105.0,105.0,Australia,Debit Card
24,20025,2022-01-01,Beauty Products,Estee Lauder Advanced Night Repair,2,105.0,210.0,South America,Credit Card
25,20026,2022-01-01,Books,Atomic Habits by James Clear,3,16.99,50.97,Australia,Google Pay
26,20027,2022-01-01,Books,Atomic Habits by James Clear,3,16.99,50.97,South America,PayPal
27,20028,2022-01-01,Books,Atomic Habits by James Clear,1,16.99,16.99,Asia,Google Pay
28,20029,2022-01-01,Books,Atomic Habits by James Clear,1,16.99,16.99,South America,PayPal
29,20030,2022-01-01,Books,The Da Vinci Code,3,15.99,47.97,Australia,Credit Card
30,20031,2022-01-01,Books,Dune by Frank Herbert,1,25.99,25.99,Australia,Apple Pay
31,20032,2022-01-01,Books,Dune by Frank Herbert,4,25.99,103.96,Australia,PayPal
32,20033,2022-01-01,Books,Dune by Frank Herbert,1,25.99,25.99,Australia,Apple Pay
33,20034,2022-01-01,Books,Dune by Frank Herbert,3,25.99,77.97,Asia,Debit Card
34,20035,2022-01-01,Books,Sapiens A Brief History of Humankind,2,18.99,37.98,North America,PayPal
35,20036,2022-01-01,Books,Sapiens A Brief History of Humankind,2,18.99,37.98,North America,Credit Card
36,20037,2022-01-01,Books,Harry Potter and the Sorcerers Stone,3,24.99,74.97,Asia,Debit Card
37,20038,2022-01-01,Books,Harry Potter and the Sorcerers Stone,3,24.99,74.97,South America,Credit Card
38,20039,2022-01-01,Books,The Alchemist by Paulo Coelho,2,14.99,29.98,North America,Apple Pay
39,20040,2022-01-01,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,Asia,Credit Card
40,20041,2022-01-01,Books,The Alchemist by Paulo Coelho,2,14.99,29.98,Australia,PayPal
41,20042,2022-01-01,Books,The Alchemist by Paulo Coelho,2,14.99,29.98,Europe,Debit Card
42,20043,2022-01-01,Books,Where the Crawdads Sing by Delia Owens,1,18.99,18.99,South America,Credit Card
43,20044,2022-01-01,Books,Where the Crawdads Sing by Delia Owens,1,18.99,18.99,North America,Google Pay
44,20045,2022-01-01,Books,Where the Crawdads Sing by Delia Owens,2,18.99,37.98,Europe,PayPal
45,20046,2022-01-01,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,South America,Google Pay
46,20047,2022-01-01,Books,1984 by George Orwell,2,19.99,39.98,North America,Debit Card
47,20048,2022-01-01,Books,1984 by George Orwell,3,19.99,59.97,Asia,Apple Pay
48,20049,2022-01-01,Clothing,Levis 501 Jeans,3,69.99,209.97,South America,Credit Card
49,20050,2022-01-01,Clothing,Levis 501 Jeans,2,69.99,139.98,Europe,Credit Card
50,20051,2022-01-01,Clothing,Levis 501 Jeans,2,69.99,139.98,North America,Credit Card
51,20052,2022-01-01,Clothing,Levis 501 Jeans,2,69.99,139.98,Europe,Apple Pay
52,20053,2022-01-01,Clothing,Nike Air Force 1,3,89.99,269.97,North America,Google Pay
53,20054,2022-01-01,Clothing,Nike Air Force 1,2,89.99,179.98,South America,Credit Card
54,20055,2022-01-01,Clothing,Nike Air Force 1,3,89.99,269.97,Asia,Debit Card
55,20056,2022-01-01,Clothing,North Face Down Jacket,2,249.99,499.98,Europe,Apple Pay
56,20057,2022-01-01,Clothing,North Face Down Jacket,2,249.99,499.98,Europe,Apple Pay
57,20058,2022-01-01,Clothing,North Face Down Jacket,1,249.99,249.99,Europe,Apple Pay
58,20059,2022-01-01,Clothing,Lululemon Align Leggings,4,98.0,392.0,Europe,PayPal
59,20060,2022-01-01,Clothing,Lululemon Align Leggings,1,98.0,98.0,North America,Google Pay
60,20061,2022-01-01,Clothing,Patagonia Better Sweater,4,139.99,559.96,Australia,PayPal
61,20062,2022-01-01,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Apple Pay
62,20063,2022-01-01,Clothing,Adidas Ultraboost Running Shoes,1,179.99,179.99,Australia,Credit Card
63,20064,2022-01-01,Clothing,Adidas Ultraboost Running Shoes,3,179.99,539.97,Asia,Credit Card
64,20065,2022-01-01,Clothing,Adidas Ultraboost Running Shoes,1,179.99,179.99,Australia,Debit Card
65,20066,2022-01-01,Clothing,Adidas Ultraboost Running Shoes,3,179.99,539.97,Europe,Google Pay
66,20067,2022-01-01,Clothing,Ray-Ban Aviator Sunglasses,2,154.99,309.98,Australia,PayPal
67,20068,2022-01-01,Clothing,Uniqlo Ultra Light Down Jacket,1,79.99,79.99,Asia,Google Pay
68,20069,2022-01-01,Clothing,Uniqlo Ultra Light Down Jacket,4,79.99,319.96,North America,Credit Card
69,20070,2022-01-01,Clothing,Uniqlo Ultra Light Down Jacket,2,79.99,159.98,Asia,Apple Pay
70,20071,2022-01-01,Electronics,iPhone 14 Pro,3,999.99,2999.97,Asia,Apple Pay
71,20072,2022-01-01,Electronics,iPhone 14 Pro,3,999.99,2999.97,Europe,Credit Card
72,20073,2022-01-01,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Apple Pay
73,20074,2022-01-01,Electronics,MacBook Pro 16-inch,3,2499.99,7499.97,Australia,Credit Card
74,20075,2022-01-01,Electronics,MacBook Pro 16-inch,3,2499.99,7499.97,Asia,Credit Card
75,20076,2022-01-01,Electronics,Samsung Galaxy Tab S8,1,749.99,749.99,Australia,Apple Pay
76,20077,2022-01-01,Electronics,Samsung Galaxy Tab S8,1,749.99,749.99,North America,Credit Card
77,20078,2022-01-01,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,Australia,Credit Card
78,20079,2022-01-01,Electronics,Apple AirPods Pro,4,249.99,999.96,Asia,PayPal
79,20080,2022-01-01,Electronics,Apple AirPods Pro,4,249.99,999.96,Asia,Apple Pay
80,20081,2022-01-01,Electronics,Nintendo Switch,1,299.99,299.99,South America,Debit Card
81,20082,2022-01-01,Electronics,Nintendo Switch,1,299.99,299.99,Asia,Apple Pay
82,20083,2022-01-01,Electronics,Nintendo Switch,1,299.99,299.99,Asia,Credit Card
83,20084,2022-01-01,Electronics,Sony PlayStation 5,1,499.99,499.99,Asia,Apple Pay
84,20085,2022-01-01,Electronics,Apple Watch Series 8,2,399.99,799.98,North America,Debit Card
85,20086,2022-01-01,Electronics,Apple Watch Series 8,4,399.99,1599.96,Asia,Debit Card
86,20087,2022-01-01,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Asia,Credit Card
87,20088,2022-01-01,Home Appliances,Dyson V11 Vacuum,4,499.99,1999.96,South America,PayPal
88,20089,2022-01-01,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Asia,Google Pay
89,20090,2022-01-01,Home Appliances,Dyson V11 Vacuum,2,499.99,999.98,Europe,Credit Card
90,20091,2022-01-01,Home Appliances,Instant Pot Duo,2,89.99,179.98,Europe,Credit Card
91,20092,2022-01-01,Home Appliances,Instant Pot Duo,1,89.99,89.99,North America,PayPal
92,20093,2022-01-01,Home Appliances,Instant Pot Duo,1,89.99,89.99,Australia,PayPal
93,20094,2022-01-01,Home Appliances,Instant Pot Duo,2,89.99,179.98,Australia,Apple Pay
94,20095,2022-01-01,Home Appliances,KitchenAid Stand Mixer,3,379.99,1139.97,Europe,Google Pay
95,20096,2022-01-01,Home Appliances,KitchenAid Stand Mixer,4,379.99,1519.96,North America,Google Pay
96,20097,2022-01-01,Home Appliances,KitchenAid Stand Mixer,3,379.99,1139.97,Australia,PayPal
97,20098,2022-01-01,Home Appliances,Roomba i7+,1,799.99,799.99,North America,Debit Card
98,20099,2022-01-01,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Asia,PayPal
99,20100,2022-01-01,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,South America,PayPal
100,20101,2022-01-01,Home Appliances,Keurig K-Elite Coffee Maker,4,189.99,759.96,South America,Google Pay
101,20102,2022-01-01,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,South America,Google Pay
102,20103,2022-01-01,Home Appliances,Vitamix Explorian Blender,3,349.99,1049.97,Europe,Credit Card
103,20104,2022-01-01,Home Appliances,Vitamix Explorian Blender,2,349.99,699.98,South America,Credit Card
104,20105,2022-01-01,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,South America,Google Pay
105,20106,2022-01-01,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,South America,Credit Card
106,20107,2022-01-01,Home Appliances,Dyson Pure Cool Link,2,499.99,999.98,North America,Apple Pay
107,20108,2022-01-01,Home Appliances,Breville Smart Oven,4,299.99,1199.96,Asia,Apple Pay
108,20109,2022-01-01,Home Appliances,Breville Smart Oven,1,299.99,299.99,Asia,PayPal
109,20110,2022-01-01,Home Appliances,Breville Smart Oven,4,299.99,1199.96,Europe,Apple Pay
110,20111,2022-01-01,Home Appliances,Breville Smart Oven,1,299.99,299.99,North America,Debit Card
111,20112,2022-01-01,Sports,Wilson Evolution Basketball,4,29.99,119.96,Australia,PayPal
112,20113,2022-01-01,Sports,Wilson Evolution Basketball,1,29.99,29.99,Australia,PayPal
113,20114,2022-01-01,Sports,Babolat Pure Drive Tennis Racket,4,199.99,799.96,South America,PayPal
114,20115,2022-01-01,Sports,Garmin Forerunner 945,1,599.99,599.99,North America,Google Pay
115,20116,2022-01-01,Sports,Peloton Bike,1,1895.0,1895.0,Asia,Credit Card
116,20117,2022-01-01,Sports,Peloton Bike,3,1895.0,5685.0,Australia,PayPal
117,20118,2022-01-01,Sports,Peloton Bike,1,1895.0,1895.0,South America,PayPal
118,20119,2022-01-01,Sports,Peloton Bike,1,1895.0,1895.0,North America,Google Pay
119,20120,2022-01-01,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card
120,20121,2022-01-01,Sports,Bowflex SelectTech 552 Dumbbells,4,399.99,1599.96,North America,PayPal
121,20122,2022-01-01,Sports,Bowflex SelectTech 552 Dumbbells,2,399.99,799.98,South America,PayPal
122,20123,2022-01-01,Sports,Bowflex SelectTech 552 Dumbbells,2,399.99,799.98,North America,Credit Card
123,20124,2022-01-01,Sports,Nike Air Zoom Pegasus 37,3,129.99,389.97,South America,Credit Card
124,20125,2022-01-01,Sports,YETI Tundra 45 Cooler,2,299.99,599.98,Australia,Debit Card
125,20126,2022-01-01,Sports,YETI Tundra 45 Cooler,4,299.99,1199.96,Australia,Debit Card
126,20127,2022-01-01,Sports,Fitbit Charge 5,4,129.99,519.96,South America,Credit Card
127,20128,2022-01-02,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,North America,Debit Card
128,20129,2022-01-02,Beauty Products,Neutrogena Skincare Set,3,89.99,269.97,Asia,Google Pay
129,20130,2022-01-02,Beauty Products,Neutrogena Skincare Set,4,89.99,359.96,North America,Credit Card
130,20131,2022-01-02,Beauty Products,Chanel No. 5 Perfume,4,129.99,519.96,North America,Debit Card
131,20132,2022-01-02,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Asia,Apple Pay
132,20133,2022-01-02,Beauty Products,La Mer Creme de la Mer Moisturizer,4,190.0,760.0,Europe,Google Pay
133,20134,2022-01-02,Beauty Products,La Mer Creme de la Mer Moisturizer,2,190.0,380.0,South America,Debit Card
134,20135,2022-01-02,Beauty Products,Drunk Elephant C-Firma Day Serum,2,78.0,156.0,Asia,Credit Card
135,20136,2022-01-02,Beauty Products,Charlotte Tilbury Magic Cream,4,100.0,400.0,North America,Credit Card
136,20137,2022-01-02,Beauty Products,Charlotte Tilbury Magic Cream,1,100.0,100.0,Australia,Google Pay
137,20138,2022-01-02,Beauty Products,Charlotte Tilbury Magic Cream,3,100.0,300.0,Asia,Credit Card
138,20139,2022-01-02,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,South America,Apple Pay
139,20140,2022-01-02,Beauty Products,Tatcha The Water Cream,4,68.0,272.0,Asia,Apple Pay
140,20141,2022-01-02,Beauty Products,Tatcha The Water Cream,3,68.0,204.0,Asia,Google Pay
141,20142,2022-01-02,Beauty Products,Sunday Riley Good Genes,3,105.0,315.0,North America,PayPal
142,20143,2022-01-02,Beauty Products,Estee Lauder Advanced Night Repair,1,105.0,105.0,Europe,Google Pay
143,20144,2022-01-02,Beauty Products,Estee Lauder Advanced Night Repair,3,105.0,315.0,Asia,Google Pay
144,20145,2022-01-02,Beauty Products,Estee Lauder Advanced Night Repair,2,105.0,210.0,Australia,Apple Pay
145,20146,2022-01-02,Beauty Products,Estee Lauder Advanced Night Repair,1,105.0,105.0,Australia,Apple Pay
146,20147,2022-01-02,Books,Atomic Habits by James Clear,2,16.99,33.98,Europe,Debit Card
147,20148,2022-01-02,Books,Atomic Habits by James Clear,1,16.99,16.99,South America,Credit Card
148,20149,2022-01-02,Books,The Da Vinci Code,4,15.99,63.96,Asia,PayPal
149,20150,2022-01-02,Books,The Da Vinci Code,4,15.99,63.96,Asia,PayPal
150,20151,2022-01-02,Books,The Da Vinci Code,1,15.99,15.99,Europe,Google Pay
151,20152,2022-01-02,Books,Dune by Frank Herbert,4,25.99,103.96,North America,Debit Card
152,20153,2022-01-02,Books,Dune by Frank Herbert,4,25.99,103.96,South America,Debit Card
153,20154,2022-01-02,Books,Dune by Frank Herbert,4,25.99,103.96,North America,PayPal
154,20155,2022-01-02,Books,Sapiens A Brief History of Humankind,1,18.99,18.99,South America,PayPal
155,20156,2022-01-02,Books,Harry Potter and the Sorcerers Stone,4,24.99,99.96,South America,Debit Card
156,20157,2022-01-02,Books,Harry Potter and the Sorcerers Stone,1,24.99,24.99,South America,Credit Card
157,20158,2022-01-02,Books,The Alchemist by Paulo Coelho,1,14.99,14.99,Asia,Credit Card
158,20159,2022-01-02,Books,Where the Crawdads Sing by Delia Owens,1,18.99,18.99,North America,Credit Card
159,20160,2022-01-02,Books,Where the Crawdads Sing by Delia Owens,2,18.99,37.98,Australia,Credit Card
160,20161,2022-01-02,Books,1984 by George Orwell,4,19.99,79.96,North America,Debit Card
161,20162,2022-01-02,Clothing,Levis 501 Jeans,2,69.99,139.98,Europe,Google Pay
162,20163,2022-01-02,Clothing,Levis 501 Jeans,3,69.99,209.97,South America,Debit Card
163,20164,2022-01-02,Clothing,Levis 501 Jeans,4,69.99,279.96,Europe,Apple Pay
164,20165,2022-01-02,Clothing,Nike Air Force 1,3,89.99,269.97,Asia,PayPal
165,20166,2022-01-02,Clothing,Nike Air Force 1,4,89.99,359.96,North America,PayPal
166,20167,2022-01-02,Clothing,Nike Air Force 1,2,89.99,179.98,South America,Apple Pay
167,20168,2022-01-02,Clothing,Nike Air Force 1,1,89.99,89.99,Europe,Debit Card
168,20169,2022-01-02,Clothing,North Face Down Jacket,2,249.99,499.98,Europe,Credit Card
169,20170,2022-01-02,Clothing,North Face Down Jacket,1,249.99,249.99,South America,Credit Card
170,20171,2022-01-02,Clothing,North Face Down Jacket,1,249.99,249.99,Asia,Google Pay
171,20172,2022-01-02,Clothing,North Face Down Jacket,1,249.99,249.99,South America,Credit Card
172,20173,2022-01-02,Clothing,Lululemon Align Leggings,2,98.0,196.0,South America,Apple Pay
173,20174,2022-01-02,Clothing,Patagonia Better Sweater,4,139.99,559.96,South America,Google Pay
174,20175,2022-01-02,Clothing,Adidas Ultraboost Running Shoes,1,179.99,179.99,Asia,Apple Pay
175,20176,2022-01-02,Clothing,Adidas Ultraboost Running Shoes,4,179.99,719.96,Australia,Apple Pay
176,20177,2022-01-02,Clothing,Adidas Ultraboost Running Shoes,1,179.99,179.99,Australia,Apple Pay
177,20178,2022-01-02,Clothing,Adidas Ultraboost Running Shoes,4,179.99,719.96,Australia,Credit Card
178,20179,2022-01-02,Clothing,Ray-Ban Aviator Sunglasses,2,154.99,309.98,South America,PayPal
179,20180,2022-01-02,Clothing,Ray-Ban Aviator Sunglasses,1,154.99,154.99,South America,Apple Pay
180,20181,2022-01-02,Clothing,Ray-Ban Aviator Sunglasses,2,154.99,309.98,Asia,Apple Pay
181,20182,2022-01-02,Clothing,Ray-Ban Aviator Sunglasses,4,154.99,619.96,Australia,PayPal
182,20183,2022-01-02,Clothing,Uniqlo Ultra Light Down Jacket,1,79.99,79.99,Asia,Credit Card
183,20184,2022-01-02,Clothing,Uniqlo Ultra Light Down Jacket,1,79.99,79.99,Asia,Debit Card
184,20185,2022-01-02,Electronics,iPhone 14 Pro,1,999.99,999.99,Asia,PayPal
185,20186,2022-01-02,Electronics,iPhone 14 Pro,1,999.99,999.99,Europe,Debit Card
186,20187,2022-01-02,Electronics,iPhone 14 Pro,1,999.99,999.99,Australia,PayPal
187,20188,2022-01-02,Electronics,MacBook Pro 16-inch,3,2499.99,7499.97,Europe,PayPal
188,20189,2022-01-02,Electronics,Samsung Galaxy Tab S8,4,749.99,2999.96,Asia,Debit Card
189,20190,2022-01-02,Electronics,Samsung Galaxy Tab S8,3,749.99,2249.97,Australia,Google Pay
190,20191,2022-01-02,Electronics,Samsung Galaxy Tab S8,4,749.99,2999.96,Europe,Google Pay
191,20192,2022-01-02,Electronics,Samsung Galaxy Tab S8,4,749.99,2999.96,Asia,Debit Card
192,20193,2022-01-02,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,Asia,Credit Card
